City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chihuahua,MX,2022-12-07 20:54:31,28.5,-106.0,67.21,36,95,16.17
68,Castro,BR,2022-12-07 20:54:31,-24.7911,-50.0119,76.91,67,0,3.87
69,Madarounfa,NE,2022-12-07 20:54:32,13.3087,7.156,72.55,17,0,9.86
70,Saint-Philippe,RE,2022-12-07 20:54:32,-21.3585,55.7679,76.59,86,37,13.87
71,Shelopugino,RU,2022-12-07 20:54:32,51.6514,117.5599,-4.27,98,17,5.41
72,Ngunguru,NZ,2022-12-07 20:54:33,-35.6167,174.5,59.58,93,100,26.89
73,East London,ZA,2022-12-07 20:49:38,-33.0153,27.9116,70.65,91,0,6.33
74,Nikolskoye,RU,2022-12-07 20:50:46,59.7035,30.7861,22.91,87,100,12.41
75,Atuona,PF,2022-12-07 20:54:34,-9.8,-139.0333,77.79,76,4,18.54
76,Olafsvik,IS,2022-12-07 20:50:32,64.8945,-23.7142,32.67,68,41,15.01
77,Kenora,CA,2022-12-07 20:52:30,49.8167,-94.4337,-3.03,59,0,6.91
78,Narwar,IN,2022-12-07 20:54:34,25.65,77.9,56.3,39,0,3.36
79,Bairiki,KI,2022-12-07 20:54:35,1.3292,172.9752,84.2,79,20,8.05
80,Robertsport,LR,2022-12-07 20:54:35,6.7533,-11.3686,80.29,81,63,9.24
81,Caravelas,BR,2022-12-07 20:54:36,-17.7125,-39.2481,76.08,84,100,6.35
82,Kupang,ID,2022-12-07 20:54:36,-10.1667,123.5833,77.56,82,92,3.51
83,San Andres,CO,2022-12-07 20:54:36,12.5847,-81.7006,86.02,66,20,14.97
84,Marsabit,KE,2022-12-07 20:54:37,2.3284,37.9899,67.82,68,35,9.98
85,Pevek,RU,2022-12-07 20:53:07,69.7008,170.3133,-6.07,95,100,4.7
86,Gornopravdinsk,RU,2022-12-07 20:54:37,60.05,69.9,1.99,93,88,8.79
87,Hami,CN,2022-12-07 20:53:26,42.8,93.45,22.59,49,4,3.89
88,Arraial Do Cabo,BR,2022-12-07 20:50:32,-22.9661,-42.0278,75.16,88,75,8.05
